                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     39,                0.51585,                  1.477,                0.67397,                0.99502,                0.69868,                 0.4946,                0.54962,                0.34905,                0.73296,                0.36454,                0.48985,                0.29687,                 1.8822,                 3.1286,                 1.5008,                 1.5989,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                0.63686,                 1.5297,                 1.0927,                0.96077,                0.69868,                 0.4946,                0.54962,                0.34905,                0.73296,                0.36454,                0.48985,                0.29687,                 1.8822,                 3.1286,                 1.5008,                 1.5989,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                0.68376,                 1.7339,                 1.0569,                 1.0255,                0.69605,                0.49153,                0.52977,                0.32717,                0.73178,                0.36447,                0.46228,                0.27203,                  1.883,                 3.1252,                 1.5206,                 1.5986,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                0.60004,                 1.4984,                 0.9322,                0.93209,                0.69605,                0.49153,                0.52977,                0.32717,                0.73178,                0.36447,                0.46228,                0.27203,                  1.883,                 3.1252,                 1.5206,                 1.5986,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 0.5703,                 1.4626,                0.87296,                  1.066,                0.69079,                0.49239,                0.52939,                0.32617,                0.73404,                0.36373,                0.46268,                0.27224,                 1.9152,                 3.1394,                 1.5276,                 1.6149,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                0.67236,                 1.6908,                0.80239,                 1.0823,                0.69079,                0.49239,                0.52939,                0.32617,                0.73404,                0.36373,                0.46268,                0.27224,                 1.9152,                 3.1394,                 1.5276,                 1.6149,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                0.52547,                 1.6507,                 1.3311,                 0.9659,                0.69529,                0.48999,                0.53919,                0.32581,                0.73086,                0.36413,                0.46545,                0.27264,                 1.9054,                 3.1519,                 1.5241,                 1.6059,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                0.70544,                 1.6324,                0.79281,                 1.0683,                0.69529,                0.48999,                0.53919,                0.32581,                0.73086,                0.36413,                0.46545,                0.27264,                 1.9054,                 3.1519,                 1.5241,                 1.6059,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                0.81689,                  1.389,                 1.0482,                 1.1218,                0.68414,                0.50136,                0.58342,                0.32951,                0.74103,                0.36251,                0.46498,                0.27178,                 1.8918,                 3.1639,                 1.5115,                 1.6018,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                0.64114,                 1.5609,                0.82981,                 1.0436,                0.68414,                0.50136,                0.58342,                0.32951,                0.74103,                0.36251,                0.46498,                0.27178,                 1.8918,                 3.1639,                 1.5115,                 1.6018,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                0.69038,                 1.7492,                0.98335,                 1.0828,                0.69368,                0.48941,                0.52419,                0.32375,                 0.7444,                0.36178,                0.46353,                0.26935,                 1.8872,                 3.1741,                 1.5217,                 1.5975,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                0.53337,                 1.4393,                0.71197,                0.96583,                0.69368,                0.48941,                0.52419,                0.32375,                 0.7444,                0.36178,                0.46353,                0.26935,                 1.8872,                 3.1741,                 1.5217,                 1.5975,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                0.57863,                 1.6489,                0.77616,                 1.0072,                0.68938,                0.48889,                  0.531,                 0.3259,                0.74182,                0.36195,                0.46633,                0.26978,                 1.9023,                 3.1767,                 1.5647,                 1.6018,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                0.63725,                 1.9567,                 1.4609,                 1.0107,                0.68938,                0.48889,                  0.531,                 0.3259,                0.74182,                0.36195,                0.46633,                0.26978,                 1.9023,                 3.1767,                 1.5647,                 1.6018,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                0.40467,                 1.3208,                0.66506,                 0.9031,                0.68938,                0.48889,                  0.531,                 0.3259,                0.74182,                0.36195,                0.46633,                0.26978,                 1.9023,                 3.1767,                 1.5647,                 1.6018,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                0.65329,                 1.3876,                0.85671,                0.99364,                0.69869,                0.48816,                0.52592,                0.32359,                0.90229,                0.36295,                0.46711,                0.27215,                 1.9485,                 3.1646,                 1.5991,                 1.6769,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 0.5536,                 1.4248,                0.98524,                  1.006,                0.69869,                0.48816,                0.52592,                0.32359,                0.90229,                0.36295,                0.46711,                0.27215,                 1.9485,                 3.1646,                 1.5991,                 1.6769,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 0.5098,                 1.1366,                 0.7663,                 1.0009,                0.69869,                0.48816,                0.52592,                0.32359,                0.90229,                0.36295,                0.46711,                0.27215,                 1.9485,                 3.1646,                 1.5991,                 1.6769,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                0.61181,                 1.3704,                0.75772,                 1.0442,                0.69737,                0.48917,                0.52697,                0.33464,                0.90333,                0.36312,                0.46822,                0.27183,                 1.9585,                 3.1625,                 1.6299,                 1.6705,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                0.58014,                 1.5719,                 1.0683,                  1.016,                0.69737,                0.48917,                0.52697,                0.33464,                0.90333,                0.36312,                0.46822,                0.27183,                 1.9585,                 3.1625,                 1.6299,                 1.6705,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                0.59159,                 1.5817,                 0.7983,                0.96555,                0.69737,                0.48917,                0.52697,                0.33464,                0.90333,                0.36312,                0.46822,                0.27183,                 1.9585,                 3.1625,                 1.6299,                 1.6705,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                0.54161,                 1.3278,                0.86938,                0.99895,                0.70556,                0.48899,                0.52732,                0.31815,                0.90565,                0.36334,                0.46552,                0.26934,                 1.9743,                 3.1366,                 1.6589,                 1.6796,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                0.54967,                 1.2024,                0.56685,                 0.9878,                0.70556,                0.48899,                0.52732,                0.31815,                0.90565,                0.36334,                0.46552,                0.26934,                 1.9743,                 3.1366,                 1.6589,                 1.6796,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                0.48468,                 1.3471,                0.65322,                0.99309,                0.70556,                0.48899,                0.52732,                0.31815,                0.90565,                0.36334,                0.46552,                0.26934,                 1.9743,                 3.1366,                 1.6589,                 1.6796,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                0.27423,                 1.2752,                0.72875,                0.82241,                0.63691,                0.55216,                0.58021,                0.32296,                 0.9095,                0.36264,                0.46206,                0.26877,                 1.9806,                 3.1455,                 1.6735,                 1.6799,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                0.56018,                 1.5082,                0.76995,                0.90733,                0.63691,                0.55216,                0.58021,                0.32296,                 0.9095,                0.36264,                0.46206,                0.26877,                 1.9806,                 3.1455,                 1.6735,                 1.6799,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                0.60811,                 1.4405,                0.61334,                0.98387,                0.63691,                0.55216,                0.58021,                0.32296,                 0.9095,                0.36264,                0.46206,                0.26877,                 1.9806,                 3.1455,                 1.6735,                 1.6799,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                0.78999,                 1.8967,                 1.6193,                 1.1113,                0.86255,                0.48995,                0.54738,                0.32209,                 0.8963,                 0.3635,                 0.4593,                0.26857,                  1.968,                 3.1275,                 1.7172,                 1.6726,             2.7575e-05,             2.7575e-05,             2.7575e-05
